"Name","Team","AtBat","Hits","Home","Runs","RBI","BB","YrMajor","CrAtBat","CrHits","CrHome","CrRuns","CrRbi","CrBB","League","Division","Position","Outs","Assts","Error","Salary","Div"
"Johnson, Howard","New York",220.00,54.00,10.00,30.00,39.00,31.00,5.00,1185.00,299.00,40.00,145.00,154.00,128.00,"National","East","3S",50.00,136.00,20.00,"297.5","NE"
"Jones, Ruppert","California",393.00,90.00,17.00,73.00,49.00,64.00,11.00,4223.00,1056.00,139.00,618.00,551.00,514.00,"American","West","RF",205.00,5.00,4.00,"","AW"
"Joyner, Wally","California",593.00,172.00,22.00,82.00,100.00,57.00,1.00,593.00,172.00,22.00,82.00,100.00,57.00,"American","West","1B",1222.00,139.00,15.00,"165","AW"
"Kearney, Bob","Seattle",204.00,49.00,6.00,23.00,25.00,12.00,7.00,1309.00,308.00,27.00,126.00,132.00,66.00,"American","West","C",419.00,46.00,5.00,"300","AW"
"Kennedy, Terry","San Diego",432.00,114.00,12.00,46.00,57.00,37.00,9.00,3373.00,916.00,82.00,347.00,477.00,238.00,"National","West","C",692.00,70.00,8.00,"920","NW"
"Kingery, Mike","Kansas City",209.00,54.00,3.00,25.00,14.00,12.00,1.00,209.00,54.00,3.00,25.00,14.00,12.00,"American","West","OF",102.00,6.00,3.00,"68","AW"
"Kingman, Dave","Oakland",561.00,118.00,35.00,70.00,94.00,33.00,16.00,6677.00,1575.00,442.00,901.00,1210.00,608.00,"American","West","DH",463.00,32.00,8.00,"","AW"
"Kittle, Ron","Chicago",376.00,82.00,21.00,42.00,60.00,35.00,5.00,1770.00,408.00,115.00,238.00,299.00,157.00,"American","West","DH",0.00,0.00,0.00,"425","AW"
"Knight, Ray","New York",486.00,145.00,11.00,51.00,76.00,40.00,11.00,3967.00,1102.00,67.00,410.00,497.00,284.00,"National","East","3B",88.00,204.00,16.00,"500","NE"
"Krenchicki, Wayne","Montreal",221.00,53.00,2.00,21.00,23.00,22.00,8.00,1063.00,283.00,15.00,107.00,124.00,106.00,"National","East","13",325.00,58.00,6.00,"","NE"
"Kruk, John","San Diego",278.00,86.00,4.00,33.00,38.00,45.00,1.00,278.00,86.00,4.00,33.00,38.00,45.00,"National","West","LF",102.00,4.00,2.00,"110","NW"
"Kutcher, Randy","San Francisco",186.00,44.00,7.00,28.00,16.00,11.00,1.00,186.00,44.00,7.00,28.00,16.00,11.00,"National","West","OF",99.00,3.00,1.00,"","NW"
"Lacy, Lee","Baltimore",491.00,141.00,11.00,77.00,47.00,37.00,15.00,4291.00,1240.00,84.00,615.00,430.00,340.00,"American","East","RF",239.00,8.00,2.00,"525","AE"
"Landreaux, Ken","Los Angeles",283.00,74.00,4.00,34.00,29.00,22.00,10.00,3919.00,1062.00,85.00,505.00,456.00,283.00,"National","West","OF",145.00,5.00,7.00,"737.5","NW"
"Landrum, Tito","St Louis",205.00,43.00,2.00,24.00,17.00,20.00,7.00,854.00,219.00,12.00,105.00,99.00,71.00,"National","East","OF",131.00,6.00,1.00,"286.667","NE"
"Lansford, Carney","Oakland",591.00,168.00,19.00,80.00,72.00,39.00,9.00,4478.00,1307.00,113.00,634.00,563.00,319.00,"American","West","3B",67.00,147.00,4.00,"1200","AW"
"Laudner, Tim","Minneapolis",193.00,47.00,10.00,21.00,29.00,24.00,6.00,1136.00,256.00,42.00,129.00,139.00,106.00,"American","West","C",299.00,13.00,5.00,"245","AW"
"LaValliere, Mike","St Louis",303.00,71.00,3.00,18.00,30.00,36.00,3.00,344.00,76.00,3.00,20.00,36.00,45.00,"National","East","C",468.00,47.00,6.00,"100","NE"
"Law, Rudy","Kansas City",307.00,80.00,1.00,42.00,36.00,29.00,7.00,2421.00,656.00,18.00,379.00,198.00,184.00,"American","West","OF",145.00,2.00,2.00,"","AW"
"Law, Vance","Montreal",360.00,81.00,5.00,37.00,44.00,37.00,7.00,2268.00,566.00,41.00,279.00,257.00,246.00,"National","East","2B",170.00,284.00,3.00,"525","NE"
"Leach, Rick","Toronto",246.00,76.00,5.00,35.00,39.00,13.00,6.00,912.00,234.00,12.00,102.00,96.00,80.00,"American","East","DO",44.00,0.00,1.00,"250","AE"
"Lemon, Chet","Detroit",403.00,101.00,12.00,45.00,53.00,39.00,12.00,5150.00,1429.00,166.00,747.00,666.00,526.00,"American","East","CF",316.00,6.00,5.00,"675","AE"
"Leonard, Jeffrey","San Francisco",341.00,95.00,6.00,48.00,42.00,20.00,10.00,2964.00,808.00,81.00,379.00,428.00,221.00,"National","West","LF",158.00,4.00,5.00,"100","NW"
"Lombardozzi, Steve","Minneapolis",453.00,103.00,8.00,53.00,33.00,52.00,2.00,507.00,123.00,8.00,63.00,39.00,58.00,"American","West","2B",289.00,407.00,6.00,"105","AW"
"Lopes, Davey","Chicago",255.00,70.00,7.00,49.00,35.00,43.00,15.00,6311.00,1661.00,154.00,1019.00,608.00,820.00,"National","East","3O",51.00,54.00,8.00,"450","NE"
"Lynn, Fred","Baltimore",397.00,114.00,23.00,67.00,67.00,53.00,13.00,5589.00,1632.00,241.00,906.00,926.00,716.00,"American","East","CF",244.00,2.00,4.00,"","AE"
"Madlock, Bill","Los Angeles",379.00,106.00,10.00,38.00,60.00,30.00,14.00,6207.00,1906.00,146.00,859.00,803.00,571.00,"National","West","3B",72.00,170.00,24.00,"850","NW"
"Maldonado, Candy","San Francisco",405.00,102.00,18.00,49.00,85.00,20.00,6.00,950.00,231.00,29.00,99.00,138.00,64.00,"National","West","OF",161.00,10.00,3.00,"415","NW"
"Manning, Rick","Milwaukee",205.00,52.00,8.00,31.00,27.00,17.00,12.00,5134.00,1323.00,56.00,643.00,445.00,459.00,"American","East","OF",155.00,3.00,2.00,"400","AE"
"Marshall, Mike","Los Angeles",330.00,77.00,19.00,47.00,53.00,27.00,6.00,1928.00,516.00,90.00,247.00,288.00,161.00,"National","West","RF",149.00,8.00,6.00,"670","NW"
"Martinez, Carmelo","San Diego",244.00,58.00,9.00,28.00,25.00,35.00,4.00,1335.00,333.00,49.00,164.00,179.00,194.00,"National","West","O1",142.00,14.00,2.00,"340","NW"
"Matthews, Gary","Chicago",370.00,96.00,21.00,49.00,46.00,60.00,15.00,6986.00,1972.00,231.00,1070.00,955.00,921.00,"National","East","LF",137.00,5.00,9.00,"733.333","NE"
"Mattingly, Don","New York",677.00,238.00,31.00,117.00,113.00,53.00,5.00,2223.00,737.00,93.00,349.00,401.00,171.00,"American","East","1B",1377.00,100.00,6.00,"1975","AE"
"Matuszek, Len","Los Angeles",199.00,52.00,9.00,26.00,28.00,21.00,6.00,805.00,191.00,30.00,113.00,119.00,87.00,"National","West","O1",235.00,22.00,5.00,"265","NW"
"McDowell, Oddibe","Texas",572.00,152.00,18.00,105.00,49.00,65.00,2.00,978.00,249.00,36.00,168.00,91.00,101.00,"American","West","CF",325.00,13.00,3.00,"200","AW"
"McGee, Willie","St Louis",497.00,127.00,7.00,65.00,48.00,37.00,5.00,2703.00,806.00,32.00,379.00,311.00,138.00,"National","East","CF",325.00,9.00,3.00,"700","NE"
"McRae, Hal","Kansas City",278.00,70.00,7.00,22.00,37.00,18.00,18.00,7186.00,2081.00,190.00,935.00,1088.00,643.00,"American","West","DH",0.00,0.00,0.00,"325","AW"
"McReynolds, Kevin","San Diego",560.00,161.00,26.00,89.00,96.00,66.00,4.00,1789.00,470.00,65.00,233.00,260.00,155.00,"National","West","CF",332.00,9.00,8.00,"625","NW"
"Meacham, Bobby","New York",161.00,36.00,0.00,19.00,10.00,17.00,4.00,1053.00,244.00,3.00,156.00,86.00,107.00,"American","East","SS",70.00,149.00,12.00,"","AE"
"Melvin, Bob","San Francisco",268.00,60.00,5.00,24.00,25.00,15.00,2.00,350.00,78.00,5.00,34.00,29.00,18.00,"National","West","C",442.00,59.00,6.00,"90","NW"
"Milner, Eddie","Cincinnati",424.00,110.00,15.00,70.00,47.00,36.00,7.00,2130.00,544.00,38.00,335.00,174.00,258.00,"National","West","CF",292.00,6.00,3.00,"490","NW"
"Mitchell, Kevin","New York",328.00,91.00,12.00,51.00,43.00,33.00,2.00,342.00,94.00,12.00,51.00,44.00,33.00,"National","East","OS",145.00,59.00,8.00,"125","NE"
"Molitor, Paul","Milwaukee",437.00,123.00,9.00,62.00,55.00,40.00,9.00,4139.00,1203.00,79.00,676.00,390.00,364.00,"American","East","3B",82.00,170.00,15.00,"1260","AE"
"Moore, Charlie","Milwaukee",235.00,61.00,3.00,24.00,39.00,21.00,14.00,3926.00,1029.00,35.00,441.00,401.00,333.00,"American","East","C",425.00,43.00,4.00,"","AE"
"Moreland, Keith","Chicago",586.00,159.00,12.00,72.00,79.00,53.00,9.00,3082.00,880.00,83.00,363.00,477.00,295.00,"National","East","RF",181.00,13.00,4.00,"1043.333","NE"
"Moreno, Omar","Atlanta",359.00,84.00,4.00,46.00,27.00,21.00,12.00,4992.00,1257.00,37.00,699.00,386.00,387.00,"National","West","RF",151.00,8.00,5.00,"","NW"
"Morrison, Jim","Pittsburgh",537.00,147.00,23.00,58.00,88.00,47.00,10.00,2744.00,730.00,97.00,302.00,351.00,174.00,"National","East","3B",92.00,257.00,20.00,"277.5","NE"
"Moseby, Lloyd","Toronto",589.00,149.00,21.00,89.00,86.00,64.00,7.00,3558.00,928.00,102.00,513.00,471.00,351.00,"American","East","CF",371.00,6.00,6.00,"787.5","AE"
"Moses, John","Seattle",399.00,102.00,3.00,56.00,34.00,34.00,5.00,670.00,167.00,4.00,89.00,48.00,54.00,"American","West","CF",211.00,9.00,3.00,"80","AW"
"Motley, Darryl","Kansas City",227.00,46.00,7.00,23.00,20.00,12.00,5.00,1325.00,324.00,44.00,156.00,158.00,67.00,"American","West","RF",92.00,2.00,2.00,"","AW"
"Mulliniks, Rance","Toronto",348.00,90.00,11.00,50.00,45.00,43.00,10.00,2288.00,614.00,43.00,295.00,273.00,269.00,"American","East","3B",60.00,176.00,6.00,"450","AE"
"Mumphrey, Jerry","Chicago",309.00,94.00,5.00,37.00,32.00,26.00,13.00,4618.00,1330.00,57.00,616.00,522.00,436.00,"National","East","OF",161.00,3.00,3.00,"600","NE"
"Murphy, Dale","Atlanta",614.00,163.00,29.00,89.00,83.00,75.00,11.00,5017.00,1388.00,266.00,813.00,822.00,617.00,"National","West","CF",303.00,6.00,6.00,"1900","NW"
"Murphy, Dwayne","Oakland",329.00,83.00,9.00,50.00,39.00,56.00,9.00,3828.00,948.00,145.00,575.00,528.00,635.00,"American","West","CF",276.00,6.00,2.00,"600","AW"
"Murray, Eddie","Baltimore",495.00,151.00,17.00,61.00,84.00,78.00,10.00,5624.00,1679.00,275.00,884.00,1015.00,709.00,"American","East","1B",1045.00,88.00,13.00,"2460","AE"
"Nettles, Graig","San Diego",354.00,77.00,16.00,36.00,55.00,41.00,20.00,8716.00,2172.00,384.00,1172.00,1267.00,1057.00,"National","West","3B",83.00,174.00,16.00,"200","NW"
"Newman, Al","Montreal",185.00,37.00,1.00,23.00,8.00,21.00,2.00,214.00,42.00,1.00,30.00,9.00,24.00,"National","East","2B",76.00,127.00,7.00,"70","NE"
"Oberkfell, Ken","Atlanta",503.00,136.00,5.00,62.00,48.00,83.00,10.00,3423.00,970.00,20.00,408.00,303.00,414.00,"National","West","3B",65.00,258.00,8.00,"725","NW"
"O'Brien, Pete","Texas",551.00,160.00,23.00,86.00,90.00,87.00,5.00,2235.00,602.00,75.00,278.00,328.00,273.00,"American","West","1B",1224.00,115.00,11.00,"","AW"
"Oester, Ron","Cincinnati",523.00,135.00,8.00,52.00,44.00,52.00,9.00,3368.00,895.00,39.00,377.00,284.00,296.00,"National","West","2B",367.00,475.00,19.00,"750","NW"
"Oglivie, Ben","Milwaukee",346.00,98.00,5.00,31.00,53.00,30.00,16.00,5913.00,1615.00,235.00,784.00,901.00,560.00,"American","East","DH",0.00,0.00,0.00,"","AE"
"O'Malley, Tom","Baltimore",181.00,46.00,1.00,19.00,18.00,17.00,5.00,937.00,238.00,9.00,88.00,95.00,104.00,"American","East","3B",37.00,98.00,9.00,"","AE"
"Orsulak, Joe","Pittsburgh",401.00,100.00,2.00,60.00,19.00,28.00,4.00,876.00,238.00,2.00,126.00,44.00,55.00,"National","East","RF",193.00,11.00,4.00,"","NE"
"Orta, Jorge","Kansas City",336.00,93.00,9.00,35.00,46.00,23.00,15.00,5779.00,1610.00,128.00,730.00,741.00,497.00,"American","West","DH",0.00,0.00,0.00,"","AW"
"Owen, Spike","Seattle",528.00,122.00,1.00,67.00,45.00,51.00,4.00,1716.00,403.00,12.00,211.00,146.00,155.00,"American","West","SS",209.00,372.00,17.00,"350","AW"
"Paciorek, Tom","Texas",213.00,61.00,4.00,17.00,22.00,3.00,17.00,4061.00,1145.00,83.00,488.00,491.00,244.00,"American","West","UT",178.00,45.00,4.00,"235","AW"
"Pagliarulo, Mike","New York",504.00,120.00,28.00,71.00,71.00,54.00,3.00,1085.00,259.00,54.00,150.00,167.00,114.00,"American","East","3B",103.00,283.00,19.00,"175","AE"
"Parker, Dave","Cincinnati",637.00,174.00,31.00,89.00,116.00,56.00,14.00,6727.00,2024.00,247.00,978.00,1093.00,495.00,"National","West","RF",278.00,9.00,9.00,"1041.667","NW"
"Parrish, Lance","Detroit",327.00,84.00,22.00,53.00,62.00,38.00,10.00,4273.00,1123.00,212.00,577.00,700.00,334.00,"American","East","C",483.00,48.00,6.00,"800","AE"
"Parrish, Larry","Texas",464.00,128.00,28.00,67.00,94.00,52.00,13.00,5829.00,1552.00,210.00,740.00,840.00,452.00,"American","West","DH",0.00,0.00,0.00,"587.5","AW"
"Pasqua, Dan","New York",280.00,82.00,16.00,44.00,45.00,47.00,2.00,428.00,113.00,25.00,61.00,70.00,63.00,"American","East","LF",148.00,4.00,2.00,"110","AE"
"Pena, Tony","Pittsburgh",510.00,147.00,10.00,56.00,52.00,53.00,7.00,2872.00,821.00,63.00,307.00,340.00,174.00,"National","East","C",810.00,99.00,18.00,"1150","NE"
"Pendleton, Terry","St Louis",578.00,138.00,1.00,56.00,59.00,34.00,3.00,1399.00,357.00,7.00,149.00,161.00,87.00,"National","East","3B",133.00,371.00,20.00,"160","NE"
"Perez, Tony","Cincinnati",200.00,51.00,2.00,14.00,29.00,25.00,23.00,9778.00,2732.00,379.00,1272.00,1652.00,925.00,"National","West","1B",398.00,29.00,7.00,"","NW"
"Pettis, Gary","California",539.00,139.00,5.00,93.00,58.00,69.00,5.00,1469.00,369.00,12.00,247.00,126.00,198.00,"American","West","CF",462.00,9.00,7.00,"400","AW"
"Phelps, Ken","Seattle",344.00,85.00,24.00,69.00,64.00,88.00,7.00,911.00,214.00,64.00,150.00,156.00,187.00,"American","West","DH",0.00,0.00,0.00,"300","AW"
"Phillips, Tony","Oakland",441.00,113.00,5.00,76.00,52.00,76.00,5.00,1546.00,397.00,17.00,226.00,149.00,191.00,"American","West","2B",160.00,290.00,11.00,"425","AW"
"Porter, Darrell","Texas",155.00,41.00,12.00,21.00,29.00,22.00,16.00,5409.00,1338.00,181.00,746.00,805.00,875.00,"American","West","CD",165.00,9.00,1.00,"260","AW"
"Presley, Jim","Seattle",616.00,163.00,27.00,83.00,107.00,32.00,3.00,1437.00,377.00,65.00,181.00,227.00,82.00,"American","West","3B",110.00,308.00,15.00,"200","AW"
"Puckett, Kirby","Minneapolis",680.00,223.00,31.00,119.00,96.00,34.00,3.00,1928.00,587.00,35.00,262.00,201.00,91.00,"American","West","CF",429.00,8.00,6.00,"365","AW"
"Puhl, Terry","Houston",172.00,42.00,3.00,17.00,14.00,15.00,10.00,4086.00,1150.00,57.00,579.00,363.00,406.00,"National","West","OF",65.00,0.00,0.00,"900","NW"
"Quinones, Rey","Boston",312.00,68.00,2.00,32.00,22.00,24.00,1.00,312.00,68.00,2.00,32.00,22.00,24.00,"American","East","SS",86.00,150.00,15.00,"70","AE"
"Quirk, Jamie","Kansas City",219.00,47.00,8.00,24.00,26.00,17.00,12.00,1188.00,286.00,23.00,100.00,125.00,63.00,"American","West","CS",260.00,58.00,4.00,"","AW"
"Raines, Tim","Montreal",580.00,194.00,9.00,91.00,62.00,78.00,8.00,3372.00,1028.00,48.00,604.00,314.00,469.00,"National","East","LF",270.00,13.00,6.00,"","NE"
"Ramirez, Rafael","Atlanta",496.00,119.00,8.00,57.00,33.00,21.00,7.00,3358.00,882.00,36.00,365.00,280.00,165.00,"National","West","S3",155.00,371.00,29.00,"875","NW"
"Randolph, Willie","New York",492.00,136.00,5.00,76.00,50.00,94.00,12.00,5511.00,1511.00,39.00,897.00,451.00,875.00,"American","East","2B",313.00,381.00,20.00,"875","AE"
"Ray, Johnny","Pittsburgh",579.00,174.00,7.00,67.00,78.00,58.00,6.00,3053.00,880.00,32.00,366.00,337.00,218.00,"National","East","2B",280.00,479.00,5.00,"657","NE"
"Rayford, Floyd","Baltimore",210.00,37.00,8.00,15.00,19.00,15.00,6.00,994.00,244.00,36.00,107.00,114.00,53.00,"American","East","3B",40.00,115.00,15.00,"","AE"
"Redus, Gary","Philadelphia",340.00,84.00,11.00,62.00,33.00,47.00,5.00,1516.00,376.00,42.00,284.00,141.00,219.00,"National","East","LF",185.00,8.00,4.00,"400","NE"
"Reed, Jeff","Minneapolis",165.00,39.00,2.00,13.00,9.00,16.00,3.00,196.00,44.00,2.00,18.00,10.00,18.00,"American","West","C",332.00,19.00,2.00,"75","AW"
"Reynolds, Craig","Houston",313.00,78.00,6.00,32.00,41.00,12.00,12.00,3742.00,968.00,35.00,409.00,321.00,170.00,"National","West","SS",106.00,206.00,7.00,"416.667","NW"
"Reynolds, Harold","Seattle",445.00,99.00,1.00,46.00,24.00,29.00,4.00,618.00,129.00,1.00,72.00,31.00,48.00,"American","West","2B",278.00,415.00,16.00,"87.5","AW"
"Reynolds, R.J.","Pittsburgh",402.00,108.00,9.00,63.00,48.00,40.00,4.00,1034.00,278.00,16.00,135.00,125.00,79.00,"National","East","LF",190.00,2.00,9.00,"190","NE"
"Rice, Jim","Boston",618.00,200.00,20.00,98.00,110.00,62.00,13.00,7127.00,2163.00,351.00,1104.00,1289.00,564.00,"American","East","LF",330.00,16.00,8.00,"2412.5","AE"
"Riles, Ernest","Milwaukee",524.00,132.00,9.00,69.00,47.00,54.00,2.00,972.00,260.00,14.00,123.00,92.00,90.00,"American","East","SS",212.00,327.00,20.00,"","AE"
"Ripken, Cal","Baltimore",627.00,177.00,25.00,98.00,81.00,70.00,6.00,3210.00,927.00,133.00,529.00,472.00,313.00,"American","East","SS",240.00,482.00,13.00,"1350","AE"
"Rivera, Luis","Montreal",166.00,34.00,0.00,20.00,13.00,17.00,1.00,166.00,34.00,0.00,20.00,13.00,17.00,"National","East","SS",64.00,119.00,9.00,"","NE"
"Roberts, Bip","San Diego",241.00,61.00,1.00,34.00,12.00,14.00,1.00,241.00,61.00,1.00,34.00,12.00,14.00,"National","West","2B",166.00,172.00,10.00,"","NW"
"Robidoux, Billy Jo","Milwaukee",181.00,41.00,1.00,15.00,21.00,33.00,2.00,232.00,50.00,4.00,20.00,29.00,45.00,"American","East","1B",326.00,29.00,5.00,"67.5","AE"
"Roenicke, Ron","Philadelphia",275.00,68.00,5.00,42.00,42.00,61.00,6.00,961.00,238.00,16.00,128.00,104.00,172.00,"National","East","OF",181.00,3.00,2.00,"191","NE"
"Romero, Ed","Boston",233.00,49.00,2.00,41.00,23.00,18.00,8.00,1350.00,336.00,7.00,166.00,122.00,106.00,"American","East","SS",102.00,132.00,10.00,"375","AE"
"Rose, Pete","Cincinnati",237.00,52.00,0.00,15.00,25.00,30.00,24.00,14053.00,4256.00,160.00,2165.00,1314.00,1566.00,"National","West","1B",523.00,43.00,6.00,"750","NW"
"Royster, Jerry","San Diego",257.00,66.00,5.00,31.00,26.00,32.00,14.00,3910.00,979.00,33.00,518.00,324.00,382.00,"National","West","UT",87.00,166.00,14.00,"250","NW"
"Russell, Bill","Los Angeles",216.00,54.00,0.00,21.00,18.00,15.00,18.00,7318.00,1926.00,46.00,796.00,627.00,483.00,"National","West","UT",103.00,84.00,5.00,"","NW"
"Russell, John","Philadelphia",315.00,76.00,13.00,35.00,60.00,25.00,3.00,630.00,151.00,24.00,68.00,94.00,55.00,"National","East","C",498.00,39.00,13.00,"155","NE"
"Salas, Mark","Minneapolis",258.00,60.00,8.00,28.00,33.00,18.00,3.00,638.00,170.00,17.00,80.00,75.00,36.00,"American","West","C",358.00,32.00,8.00,"137","AW"
"Salazar, Argenis","Kansas City",298.00,73.00,0.00,24.00,24.00,7.00,3.00,509.00,108.00,0.00,41.00,37.00,12.00,"American","West","SS",121.00,283.00,9.00,"100","AW"
"Sample, Billy","Atlanta",200.00,57.00,6.00,23.00,14.00,14.00,9.00,2516.00,684.00,46.00,371.00,230.00,195.00,"National","West","OF",69.00,1.00,1.00,"","NW"
"Samuel, Juan","Philadelphia",591.00,157.00,16.00,90.00,78.00,26.00,4.00,2020.00,541.00,52.00,310.00,226.00,91.00,"National","East","2B",290.00,440.00,25.00,"640","NE"
"Sandberg, Ryne","Chicago",627.00,178.00,14.00,68.00,76.00,46.00,6.00,3146.00,902.00,74.00,494.00,345.00,242.00,"National","East","2B",309.00,492.00,5.00,"740","NE"
"Santana, Rafael","New York",394.00,86.00,1.00,38.00,28.00,36.00,4.00,1089.00,267.00,3.00,94.00,71.00,76.00,"National","East","SS",203.00,369.00,16.00,"250","NE"
"Sax, Steve","Los Angeles",633.00,210.00,6.00,91.00,56.00,59.00,6.00,3070.00,872.00,19.00,420.00,230.00,274.00,"National","West","2B",367.00,432.00,16.00,"90","NW"
"Schmidt, Mike","Philadelphia",552.00,160.00,37.00,97.00,119.00,89.00,15.00,7292.00,1954.00,495.00,1347.00,1392.00,1354.00,"National","East","3B",78.00,220.00,6.00,"2127.333","NE"
"Schofield, Dick","California",458.00,114.00,13.00,67.00,57.00,48.00,4.00,1350.00,298.00,28.00,160.00,123.00,122.00,"American","West","SS",246.00,389.00,18.00,"475","AW"
"Schroeder, Bill","Milwaukee",217.00,46.00,7.00,32.00,19.00,9.00,4.00,694.00,160.00,32.00,86.00,76.00,32.00,"American","East","UT",307.00,25.00,1.00,"180","AE"
"Schu, Rick","Philadelphia",208.00,57.00,8.00,32.00,25.00,18.00,3.00,653.00,170.00,17.00,98.00,54.00,62.00,"National","East","3B",42.00,94.00,13.00,"140","NE"
"Scioscia, Mike","Los Angeles",374.00,94.00,5.00,36.00,26.00,62.00,7.00,1968.00,519.00,26.00,181.00,199.00,288.00,"National","West","C",756.00,64.00,15.00,"875","NW"
"Sheets, Larry","Baltimore",338.00,92.00,18.00,42.00,60.00,21.00,3.00,682.00,185.00,36.00,88.00,112.00,50.00,"American","East","DH",0.00,0.00,0.00,"145","AE"
"Shelby, John","Baltimore",404.00,92.00,11.00,54.00,49.00,18.00,6.00,1354.00,325.00,30.00,188.00,135.00,63.00,"American","East","OF",222.00,5.00,5.00,"300","AE"
"Sheridan, Pat","Detroit",236.00,56.00,6.00,41.00,19.00,21.00,5.00,1257.00,329.00,24.00,166.00,125.00,105.00,"American","East","OF",172.00,1.00,4.00,"190","AE"
"Sierra, Ruben","Texas",382.00,101.00,16.00,50.00,55.00,22.00,1.00,382.00,101.00,16.00,50.00,55.00,22.00,"American","West","OF",200.00,7.00,6.00,"97.5","AW"
"Simmons, Ted","Atlanta",127.00,32.00,4.00,14.00,25.00,12.00,19.00,8396.00,2402.00,242.00,1048.00,1348.00,819.00,"National","West","UT",167.00,18.00,6.00,"500","NW"
"Skinner, Joel","Chicago",315.00,73.00,5.00,23.00,37.00,16.00,4.00,450.00,108.00,6.00,38.00,46.00,28.00,"American","West","C",227.00,15.00,3.00,"110","AW"
"Slaught, Don","Texas",314.00,83.00,13.00,39.00,46.00,16.00,5.00,1457.00,405.00,28.00,156.00,159.00,76.00,"American","West","C",533.00,40.00,4.00,"431.5","AW"
"Smalley, Roy","Minneapolis",459.00,113.00,20.00,59.00,57.00,68.00,12.00,5348.00,1369.00,155.00,713.00,660.00,735.00,"American","West","DH",0.00,0.00,0.00,"740","AW"
"Smith, Lonnie","Kansas City",508.00,146.00,8.00,80.00,44.00,46.00,9.00,3148.00,915.00,41.00,571.00,289.00,326.00,"American","West","LF",245.00,5.00,9.00,"","AW"
"Smith, Ozzie","St Louis",514.00,144.00,0.00,67.00,54.00,79.00,9.00,4739.00,1169.00,13.00,583.00,374.00,528.00,"National","East","SS",229.00,453.00,15.00,"1940","NE"
"Snyder, Cory","Cleveland",416.00,113.00,24.00,58.00,69.00,16.00,1.00,416.00,113.00,24.00,58.00,69.00,16.00,"American","East","OS",203.00,70.00,10.00,"90","AE"
"Speier, Chris","Chicago",155.00,44.00,6.00,21.00,23.00,15.00,16.00,6631.00,1634.00,98.00,698.00,661.00,777.00,"National","East","3S",53.00,88.00,3.00,"275","NE"
"Spilman, Harry","San Francisco",143.00,39.00,5.00,18.00,30.00,15.00,9.00,639.00,151.00,16.00,80.00,97.00,61.00,"National","West","1B",138.00,15.00,1.00,"175","NW"
"Stillwell, Kurt","Cincinnati",279.00,64.00,0.00,31.00,26.00,30.00,1.00,279.00,64.00,0.00,31.00,26.00,30.00,"National","West","SS",107.00,205.00,16.00,"75","NW"
"Stone, Jeff","Philadelphia",249.00,69.00,6.00,32.00,19.00,20.00,4.00,702.00,209.00,10.00,97.00,48.00,44.00,"National","East","OF",103.00,8.00,2.00,"","NE"
"Strawberry, Darryl","New York",475.00,123.00,27.00,76.00,93.00,72.00,4.00,1810.00,471.00,108.00,292.00,343.00,267.00,"National","East","RF",226.00,10.00,6.00,"1220","NE"
"Stubbs, Franklin","Los Angeles",420.00,95.00,23.00,55.00,58.00,37.00,3.00,646.00,139.00,31.00,77.00,77.00,61.00,"National","West","LF",206.00,10.00,7.00,"","NW"
"Sundberg, Jim","Kansas City",429.00,91.00,12.00,41.00,42.00,57.00,13.00,5590.00,1397.00,83.00,578.00,579.00,644.00,"American","West","C",686.00,46.00,4.00,"825","AW"
"Sveum, Dale","Milwaukee",317.00,78.00,7.00,35.00,35.00,32.00,1.00,317.00,78.00,7.00,35.00,35.00,32.00,"American","East","3B",45.00,122.00,26.00,"70","AE"
"Tabler, Pat","Cleveland",473.00,154.00,6.00,61.00,48.00,29.00,6.00,1966.00,566.00,29.00,250.00,252.00,178.00,"American","East","1B",846.00,84.00,9.00,"580","AE"
"Tartabull, Danny","Seattle",511.00,138.00,25.00,76.00,96.00,61.00,3.00,592.00,164.00,28.00,87.00,110.00,71.00,"American","West","RF",157.00,7.00,8.00,"145","AW"
"Templeton, Garry","San Diego",510.00,126.00,2.00,42.00,44.00,35.00,11.00,5562.00,1578.00,44.00,703.00,519.00,256.00,"National","West","SS",207.00,358.00,20.00,"737.5","NW"
"Tettleton, Mickey","Oakland",211.00,43.00,10.00,26.00,35.00,39.00,3.00,498.00,116.00,14.00,59.00,55.00,78.00,"American","West","C",463.00,32.00,8.00,"120","AW"
"Teufel, Tim","New York",279.00,69.00,4.00,35.00,31.00,32.00,4.00,1359.00,355.00,31.00,180.00,148.00,158.00,"National","East","2B",133.00,173.00,9.00,"277.5","NE"
"Thomas, Andres","Atlanta",323.00,81.00,6.00,26.00,32.00,8.00,2.00,341.00,86.00,6.00,32.00,34.00,8.00,"National","West","SS",143.00,290.00,19.00,"75","NW"
"Thomas, Gorman","Seattle",315.00,59.00,16.00,45.00,36.00,58.00,13.00,4677.00,1051.00,268.00,681.00,782.00,697.00,"American","West","DH",0.00,0.00,0.00,"","AW"
"Thompson, Milt","Philadelphia",299.00,75.00,6.00,38.00,23.00,26.00,3.00,580.00,160.00,8.00,71.00,33.00,44.00,"National","East","CF",212.00,1.00,2.00,"140","NE"
